NAME;NGC;Object type;Season;Magnitude;Constellation (EN);Constellation (FR);Constellation (Latin);RA;DEC;Distance;Size;Image;Image ciel;Constellation
M1;NGC 1952;Supernova remnant / Reste de Supernova;Winter / Hiver;8;Bull;Taureau;Taurus;05:34:31.97;+22:00:52.1;6500;6,0' x 4,0';/static/images/messier/M1.jpg;http://www.lasam.ca/messier/M001.JPG;Tau
M2;NGC 7089;Globular Cluster / Amas Globulaire;Autumn / Automne;6;Water Bearer;Verseau;Aquarius;21:33:27.01;-00:49:23.9;55000;11,7';/static/images/messier/M2.jpg;http://www.lasam.ca/messier/M002.JPG;Aqr
M3;NGC 5272;Globular Cluster / Amas Globulaire;Spring / Printemps;6;Hound Dogs;Les Chiens de chasse;Canes Venatici;13:42:11.23;+28:22:31.6;48500;18,6';/static/images/messier/M3.jpg;http://www.lasam.ca/messier/M003.JPG;CVn
M4;NGC 6121;Globular Cluster / Amas Globulaire;Summer / Été;5;Scorpion;Scorpion;Scorpius;16:23:35.40;-26:31:31.9;9900;22,8';/static/images/messier/M4.jpg;http://www.lasam.ca/messier/M004.JPG;Sco
M5;NGC 5904;Globular Cluster / Amas Globulaire;Spring / Printemps;5;;;;15:18:33.75;+02:04:57.7;24800;19,9';/static/images/messier/M5.jpg;http://www.lasam.ca/messier/M005.JPG;Se1
M6;NGC 6504;Open Cluster / Amas Ouvert;Summer / Été;4;Scorpion;Scorpion;Scorpius;17:40:20.75;-32:15:15.0;1300;15,0';/static/images/messier/M6.jpg;http://www.lasam.ca/messier/M006.JPG;Sco
M7;NGC 6475;Open Cluster / Amas Ouvert;Summer / Été;3;Scorpion;Scorpion;Scorpius;17:53:51.18;-34:47:34.2;780;30,0';/static/images/messier/M7.jpg;http://www.lasam.ca/messier/M007.JPG;Sco
M8;NGC 6523;Emission Nebula / Nébuleuse à émission;Summer / Été;5;Archer;Sagittaire;Sagittarius;18:03:41.27;-24:22:48.6;4850;90,0' x 40,0';/static/images/messier/M8.jpg;http://www.lasam.ca/messier/M008.JPG;Sgr
M9;NGC 6333;Globular Cluster / Amas Globulaire;Summer / Été;7;Serpent Holder;Ophiuchus;Ophiuchus;17:19:11.78;-18:30:58.5;25800;5,5';/static/images/messier/M9.jpg;http://www.lasam.ca/messier/M009.JPG;Oph
M10;NGC 6254;Globular Cluster / Amas Globulaire;Summer / Été;6;Serpent Holder;Ophiuchus;Ophiuchus;16:57:08.99;-04:05:57.6;16300;12,2';/static/images/messier/M10.jpg;http://www.lasam.ca/messier/M010.JPG;Oph
M11;NGC 6705;Open Cluster / Amas Ouvert;Summer / Été;5;Shield;L’Écu de Sobieski;Scutum;18:51:05.99;-06:16:12.1;5600;14,0';/static/images/messier/M11.jpg;http://www.lasam.ca/messier/M011.JPG;Sct
M12;NGC 6218;Globular Cluster / Amas Globulaire;Summer / Été;6;Serpent Holder;Ophiuchus;Ophiuchus;16:47:14.52;-01:56:52.2;18900;12,2';/static/images/messier/M12.jpg;http://www.lasam.ca/messier/M012.JPG;Oph
M13;NGC 6205;Globular Cluster / Amas Globulaire;Summer / Été;5;Hercules;Hercule;Hercules;16:41:41.63;+36:27:40.7;23500;23,2';/static/images/messier/M13.jpg;http://www.lasam.ca/messier/M013.JPG;Her
M14;NGC 6402;Globular Cluster / Amas Globulaire;Summer / Été;7;Serpent Holder;Ophiuchus;Ophiuchus;17:37:36.16;-03:14:45.3;24000;6,7';/static/images/messier/M14.jpg;http://www.lasam.ca/messier/M014.JPG;Oph
M15;NGC 7078;Globular Cluster / Amas Globulaire;Autumn / Automne;6;Winged Horse;Pégase;Pegasus;21:29:58.38;+12:10:00.6;49500;12,3';/static/images/messier/M15.jpg;http://www.lasam.ca/messier/M015.JPG;Peg
M16;NGC 6611;Emission Nebula / Nébuleuse à émission;Summer / Été;6;;;;18:18:48.17;-13:48:26.0;5870;25,0';/static/images/messier/M16.jpg;http://www.lasam.ca/messier/M016.JPG;Se2
M17;NGC 6618;Emission Nebula / Nébuleuse à émission;Summer / Été;6;Archer;Sagittaire;Sagittarius;18:20:47.11;-16:10:17.5;5870;45,0' x 35,0';/static/images/messier/M17.jpg;http://www.lasam.ca/messier/M017.JPG;Sgr
M18;NGC 6613;Open Cluster / Amas Ouvert;Summer / Été;6;Archer;Sagittaire;Sagittarius;18:19:58.49;-17:06:07.1;4900;9,0';/static/images/messier/M18.jpg;http://www.lasam.ca/messier/M018.JPG;Sgr
M19;NGC 6273;Globular Cluster / Amas Globulaire;Summer / Été;7;Serpent Holder;Ophiuchus;Ophiuchus;17:02:37.68;-26:16:04.6;22500;5,3';/static/images/messier/M19.jpg;http://www.lasam.ca/messier/M019.JPG;Oph
M20;NGC 6514;Emission Nebula / Nébuleuse à émission;Summer / Été;6;Archer;Sagittaire;Sagittarius;18:02:42.11;-22:58:18.8;2300;29,0' x 27,0';/static/images/messier/M20.jpg;http://www.lasam.ca/messier/M020.JPG;Sgr
M21;NGC 6531;Open Cluster / Amas Ouvert;Summer / Été;5;Archer;Sagittaire;Sagittarius;18:04:13.45;-22:29:24.2;4200;13,0';/static/images/messier/M21.jpg;http://www.lasam.ca/messier/M021.JPG;Sgr
M22;NGC 6656;Globular Cluster / Amas Globulaire;Summer / Été;5;Archer;Sagittaire;Sagittarius;18:36:24.20;-23:54:12.3;7800;17,0';/static/images/messier/M22.jpg;http://www.lasam.ca/messier/M022.JPG;Sgr
M23;NGC 6494;Open Cluster / Amas Ouvert;Summer / Été;5;Archer;Sagittaire;Sagittarius;17:57:04.77;-18:59:07.2;2150;25,0';/static/images/messier/M23.jpg;http://www.lasam.ca/messier/M023.JPG;Sgr
M24;NGC 6603;Open Cluster / Amas Ouvert;Summer / Été;11;Archer;Sagittaire;Sagittarius;18:16:56.12;-18:30:52.4;16000;45,0';/static/images/messier/M24.jpg;http://www.lasam.ca/messier/M024.JPG;Sgr
M25;IC4725;Open Cluster / Amas Ouvert;Summer / Été;4;Archer;Sagittaire;Sagittarius;18:31:46.77;-19:06:53.8;2060;35,0';/static/images/messier/M25.jpg;http://www.lasam.ca/messier/M025.JPG;Sgr
M26;NGC 6694;Open Cluster / Amas Ouvert;Summer / Été;8;Shield;L’Écu de Sobieski;Scutum;18:45:18.66;-09:23:01.0;5100;15,0';/static/images/messier/M26.jpg;http://www.lasam.ca/messier/M026.JPG;Sct
M27;NGC 6853;Planetary Nebula / Nébuleuse Planétaire;Summer / Été;8;Little Fox;Petit Renard;Vulpecula;19:59:36.38;+22:43:15.7;980;348,0'';/static/images/messier/M27.jpg;http://www.lasam.ca/messier/M027.JPG;Vul
M28;NGC 6626;Globular Cluster / Amas Globulaire;Summer / Été;6;Archer;Sagittaire;Sagittarius;18:24:32.89;-24:52:11.4;19000;15,0';/static/images/messier/M28.jpg;http://www.lasam.ca/messier/M028.JPG;Sgr
M29;NGC 6913;Open Cluster / Amas Ouvert;Summer / Été;6;Swan;Cygne;Cygnus;20:23:57.77;+38:30:27.6;4100;7,0';/static/images/messier/M29.jpg;http://www.lasam.ca/messier/M029.JPG;Cyg
